,date,type,year,avg_price,size,nb_sold
0,12/27/2015,conventional,2015,0.95,small,9.63E+06
1,12/20/2015,conventional,2015,0.98,small,8.71E+06
2,12/13/2015,conventional,2015,0.93,small,9.86E+06
3,12/6/2015,conventional,2015,0.89,small,9.41E+06
4,11/29/2015,conventional,2015,0.99,small,8.10E+06
5,11/22/2015,conventional,2015,0.96,small,8.57E+06
6,11/15/2015,conventional,2015,0.92,small,9.91E+06
7,11/8/2015,conventional,2015,0.97,small,9.99E+06
8,11/1/2015,conventional,2015,0.97,small,1.01E+07
9,10/25/2015,conventional,2015,1.04,small,8.68E+06
10,10/18/2015,conventional,2015,0.99,small,9.16E+06
11,10/11/2015,conventional,2015,1,small,8.83E+06
12,10/4/2015,conventional,2015,1.02,small,8.35E+06
13,9/27/2015,conventional,2015,1.03,small,8.45E+06
14,9/20/2015,conventional,2015,1.02,small,9.42E+06
15,9/13/2015,conventional,2015,1.03,small,9.88E+06
16,9/6/2015,conventional,2015,1.02,small,1.26E+07
17,8/30/2015,conventional,2015,1.07,small,1.17E+07
18,8/23/2015,conventional,2015,1.08,small,1.13E+07
19,8/16/2015,conventional,2015,1.05,small,1.27E+07
20,8/9/2015,conventional,2015,1.05,small,1.30E+07
21,8/2/2015,conventional,2015,1.09,small,1.21E+07
22,7/26/2015,conventional,2015,1.07,small,1.22E+07
23,7/19/2015,conventional,2015,1.07,small,1.27E+07
24,7/12/2015,conventional,2015,1.07,small,1.24E+07
25,7/5/2015,conventional,2015,1.04,small,1.56E+07
26,6/28/2015,conventional,2015,1.06,small,1.33E+07
27,6/21/2015,conventional,2015,1.02,small,1.47E+07
28,6/14/2015,conventional,2015,0.98,small,1.64E+07
29,6/7/2015,conventional,2015,1,small,1.65E+07
30,5/31/2015,conventional,2015,1.03,small,1.55E+07
31,5/24/2015,conventional,2015,1.04,small,1.60E+07
32,5/17/2015,conventional,2015,1.06,small,1.46E+07
33,5/10/2015,conventional,2015,1.02,small,1.62E+07
34,5/3/2015,conventional,2015,0.96,small,1.78E+07
35,2/18/2018,conventional,2018,1.08,large,1.05E+07
36,2/11/2018,conventional,2018,0.97,large,1.15E+07
37,2/4/2018,conventional,2018,0.87,large,2.05E+07
38,1/28/2018,conventional,2018,1.09,large,1.21E+07
39,1/21/2018,conventional,2018,1.08,large,1.39E+07
40,1/14/2018,conventional,2018,1.2,large,1.19E+07
41,1/7/2018,conventional,2018,1.13,large,1.08E+07
42,12/27/2015,organic,2015,1.52,large,2.06E+05
43,12/20/2015,organic,2015,1.53,large,2.06E+05
44,12/13/2015,organic,2015,1.43,large,2.22E+05
45,12/6/2015,organic,2015,1.52,large,2.13E+05
46,11/29/2015,organic,2015,1.5,large,2.09E+05
47,11/22/2015,organic,2015,1.49,large,2.50E+05
48,11/15/2015,organic,2015,1.6,large,2.25E+05
49,11/8/2015,organic,2015,1.54,large,2.49E+05
50,11/1/2015,organic,2015,1.47,large,2.63E+05
51,10/25/2015,organic,2015,1.62,large,2.44E+05
52,10/18/2015,organic,2015,1.71,large,2.24E+05
53,10/11/2015,organic,2015,1.69,large,2.31E+05
54,10/4/2015,organic,2015,1.72,large,2.69E+05
55,9/27/2015,organic,2015,1.75,large,2.38E+05
56,9/20/2015,organic,2015,1.77,large,2.45E+05
57,9/13/2015,organic,2015,1.8,large,2.52E+05
58,9/6/2015,organic,2015,1.78,large,2.72E+05
59,8/30/2015,organic,2015,1.66,large,3.25E+05
60,8/23/2015,organic,2015,1.72,large,2.98E+05
61,8/16/2015,organic,2015,1.75,large,3.10E+05
62,8/9/2015,organic,2015,1,large,2.69E+05
63,8/2/2015,organic,2015,1,large,2.63E+05
64,7/26/2015,organic,2015,1,large,2.66E+05
65,7/19/2015,organic,2015,1,large,3.18E+05
66,7/12/2015,organic,2015,1,large,2.67E+05
67,7/5/2015,organic,2015,1,large,3.05E+05
68,6/28/2015,organic,2015,1.64,large,3.33E+05
69,6/21/2015,organic,2015,1.66,large,3.04E+05
70,6/14/2015,organic,2015,1.68,large,2.79E+05
71,6/7/2015,organic,2015,1.67,large,2.65E+05
72,5/31/2015,organic,2015,1.58,large,3.33E+05
73,5/24/2015,organic,2015,1.59,large,2.94E+05
74,5/17/2015,organic,2015,1.5,large,3.12E+05
75,5/10/2015,organic,2015,1.42,large,3.50E+05
76,5/3/2015,organic,2015,1.37,large,3.81E+05
77,4/26/2015,organic,2015,1.45,large,3.79E+05
78,4/19/2015,organic,2015,1.59,large,3.02E+05
79,4/12/2015,organic,2015,1.53,large,4.29E+05
80,4/5/2015,organic,2015,1.63,large,2.76E+05
81,3/29/2015,organic,2015,1.6,large,3.25E+05
82,3/22/2015,organic,2015,1.49,large,3.20E+05
83,3/15/2015,organic,2015,1.5,large,2.59E+05
84,3/8/2015,organic,2015,1.49,large,3.28E+05
85,3/11/2018,organic,2018,1.52,extra_large,1401.87
86,3/4/2018,organic,2018,1.52,extra_large,1225.97
87,2/25/2018,organic,2018,1.57,extra_large,1063.32
88,2/18/2018,organic,2018,1.52,extra_large,1905.46
89,2/11/2018,organic,2018,1.56,extra_large,1839.8
90,2/4/2018,organic,2018,1.53,extra_large,1703.52
91,1/28/2018,organic,2018,1.61,extra_large,1270.61
92,1/21/2018,organic,2018,1.63,extra_large,1490.02
93,1/14/2018,organic,2018,1.59,extra_large,1580.01
94,1/7/2018,organic,2018,1.51,extra_large,1289.07
