store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI
1,A,1,2/5/2010,4488.2,FALSE,42.31,2.572,8.106,NA,NA,NA,NA,NA,211.0963582
1,A,1,2/12/2010,4105.8,TRUE,38.51,2.548,8.106,NA,NA,NA,NA,NA,211.2421698
1,A,1,2/19/2010,4244.4,FALSE,39.93,2.514,8.106,NA,NA,NA,NA,NA,211.2891429
1,A,1,2/26/2010,4919.1,FALSE,46.63,2.561,8.106,NA,NA,NA,NA,NA,211.3196429
1,A,1,3/5/2010,4912.5,FALSE,46.5,2.625,8.106,NA,NA,NA,NA,NA,211.3501429
1,A,1,3/12/2010,6045.7,FALSE,57.79,2.667,8.106,NA,NA,NA,NA,NA,211.3806429
1,A,1,3/19/2010,5730,FALSE,54.58,2.72,8.106,NA,NA,NA,NA,NA,211.215635
1,A,1,3/26/2010,5418.2,FALSE,51.45,2.732,8.106,NA,NA,NA,NA,NA,211.0180424
1,A,1,4/2/2010,6498.9,FALSE,62.27,2.719,7.808,NA,NA,NA,NA,NA,210.8204499
1,A,1,4/9/2010,6863,FALSE,65.86,2.77,7.808,NA,NA,NA,NA,NA,210.6228574
1,A,1,4/16/2010,6912.8,FALSE,66.32,2.808,7.808,NA,NA,NA,NA,NA,210.4887
1,A,1,4/23/2010,6763.5,FALSE,64.84,2.795,7.808,NA,NA,NA,NA,NA,210.4391228
1,A,1,4/30/2010,7019,FALSE,67.41,2.78,7.808,NA,NA,NA,NA,NA,210.3895456
1,A,1,5/7/2010,7538.5,FALSE,72.55,2.835,7.808,NA,NA,NA,NA,NA,210.3399684
1,A,1,5/14/2010,7763.4,FALSE,74.78,2.854,7.808,NA,NA,NA,NA,NA,210.3374261
1,A,1,5/21/2010,7926.6,FALSE,76.44,2.826,7.808,NA,NA,NA,NA,NA,210.6170934
1,A,1,5/28/2010,8319.9,FALSE,80.44,2.759,7.808,NA,NA,NA,NA,NA,210.8967606
1,A,1,6/4/2010,8339.5,FALSE,80.69,2.705,7.808,NA,NA,NA,NA,NA,211.1764278
1,A,1,6/11/2010,8309.8,FALSE,80.43,2.668,7.808,NA,NA,NA,NA,NA,211.4560951
1,A,1,6/18/2010,8674.7,FALSE,84.11,2.637,7.808,NA,NA,NA,NA,NA,211.4537719
1,A,1,6/25/2010,8699.3,FALSE,84.34,2.653,7.808,NA,NA,NA,NA,NA,211.3386526
1,A,1,7/2/2010,8357.9,FALSE,80.91,2.669,7.787,NA,NA,NA,NA,NA,211.2235333
1,A,1,7/9/2010,8312.2,FALSE,80.48,2.642,7.787,NA,NA,NA,NA,NA,211.108414
1,A,1,7/16/2010,8577.3,FALSE,83.15,2.623,7.787,NA,NA,NA,NA,NA,211.1003854
1,A,1,7/23/2010,8596.8,FALSE,83.36,2.608,7.787,NA,NA,NA,NA,NA,211.2351443
1,A,1,7/30/2010,8448,FALSE,81.84,2.64,7.787,NA,NA,NA,NA,NA,211.3699032
1,A,1,8/6/2010,8978.7,FALSE,87.16,2.627,7.787,NA,NA,NA,NA,NA,211.5046621
1,A,1,8/13/2010,8969.2,FALSE,87,2.692,7.787,NA,NA,NA,NA,NA,211.6394211
1,A,1,8/20/2010,8931.4,FALSE,86.65,2.664,7.787,NA,NA,NA,NA,NA,211.6033633
1,A,1,8/27/2010,8783.9,FALSE,85.22,2.619,7.787,NA,NA,NA,NA,NA,211.5673056
1,A,1,9/3/2010,8378.7,FALSE,81.21,2.577,7.787,NA,NA,NA,NA,NA,211.5312479
1,A,1,9/10/2010,8125.5,TRUE,78.69,2.565,7.787,NA,NA,NA,NA,NA,211.4951902
1,A,1,9/17/2010,8469.2,FALSE,82.11,2.582,7.787,NA,NA,NA,NA,NA,211.5224596
1,A,1,9/24/2010,8356.4,FALSE,80.94,2.624,7.787,NA,NA,NA,NA,NA,211.5972246
1,A,1,10/1/2010,7449.3,FALSE,71.89,2.603,7.838,NA,NA,NA,NA,NA,211.6719895
1,A,1,10/8/2010,6656.3,FALSE,63.93,2.633,7.838,NA,NA,NA,NA,NA,211.7467544
1,A,1,10/15/2010,6990,FALSE,67.18,2.72,7.838,NA,NA,NA,NA,NA,211.8137436
1,A,1,10/22/2010,7258.5,FALSE,69.86,2.725,7.838,NA,NA,NA,NA,NA,211.8612937
1,A,1,10/29/2010,7235.6,FALSE,69.64,2.716,7.838,NA,NA,NA,NA,NA,211.9088438
1,A,1,11/5/2010,6142.9,FALSE,58.74,2.689,7.838,NA,NA,NA,NA,NA,211.9563939
1,A,1,11/12/2010,6233.8,FALSE,59.61,2.728,7.838,NA,NA,NA,NA,NA,212.003944
1,A,1,11/19/2010,5418.1,FALSE,51.41,2.771,7.838,NA,NA,NA,NA,NA,211.8896737
1,A,1,11/26/2010,6725.5,TRUE,64.52,2.735,7.838,NA,NA,NA,NA,NA,211.7484333
1,A,1,12/3/2010,5197.8,FALSE,49.27,2.708,7.838,NA,NA,NA,NA,NA,211.607193
1,A,1,12/10/2010,4917.3,FALSE,46.33,2.843,7.838,NA,NA,NA,NA,NA,211.4659526
1,A,1,12/17/2010,5270.9,FALSE,49.84,2.869,7.838,NA,NA,NA,NA,NA,211.4053124
1,A,1,12/24/2010,5521.6,FALSE,52.33,2.886,7.838,NA,NA,NA,NA,NA,211.4051222
1,A,1,12/31/2010,5137.3,TRUE,48.43,2.943,7.838,NA,NA,NA,NA,NA,211.4049321
1,A,1,1/7/2011,5124.6,FALSE,48.27,2.976,7.742,NA,NA,NA,NA,NA,211.4047419
1,A,1,1/14/2011,3838.3,FALSE,35.4,2.983,7.742,NA,NA,NA,NA,NA,211.4574109
1,A,1,1/21/2011,4705.6,FALSE,44.04,3.016,7.742,NA,NA,NA,NA,NA,211.8272343
1,A,1,1/28/2011,4684,FALSE,43.83,3.01,7.742,NA,NA,NA,NA,NA,212.1970577
1,A,1,2/4/2011,4525.9,FALSE,42.27,2.989,7.742,NA,NA,NA,NA,NA,212.5668812
1,A,1,2/11/2011,3941.2,TRUE,36.39,3.022,7.742,NA,NA,NA,NA,NA,212.9367046
